Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Malaria, Current week"
NEW YORK,2016,1,6,
NEW YORK,2016,2,7,
NEW YORK,2016,3,8,
NEW YORK,2016,4,20,1
NEW YORK,2016,5,15,1
NEW YORK,2016,6,18,
NEW YORK,2016,7,11,1
NEW YORK,2016,8,14,
NEW YORK,2016,9,16,2
NEW YORK,2016,10,12,
NEW YORK,2016,11,19,
NEW YORK,2016,12,22,
NEW YORK,2016,13,33,
NEW YORK,2016,14,15,1
NEW YORK,2016,15,15,
NEW YORK,2016,16,27,1
NEW YORK,2016,17,19,1
NEW YORK,2016,18,21,1
NEW YORK,2016,19,32,1
NEW YORK,2016,20,48,1
NEW YORK,2016,21,37,
NEW YORK,2016,22,0,
NEW YORK,2016,23,71,2
NEW YORK,2016,24,93,2
NEW YORK,2016,25,80,2
NEW YORK,2016,26,96,2
NEW YORK,2016,27,74,
NEW YORK,2016,28,131,
NEW YORK,2016,29,219,1
NEW YORK,2016,30,165,1
NEW YORK,2016,31,132,2
NEW YORK,2016,32,215,3
NEW YORK,2016,33,101,
NEW YORK,2016,34,155,8
NEW YORK,2016,35,109,
NEW YORK,2016,36,89,1
NEW YORK,2016,37,92,
NEW YORK,2016,38,109,1
NEW YORK,2016,39,93,2
NEW YORK,2016,40,45,1
NEW YORK,2016,41,89,3
NEW YORK,2016,42,95,2
NEW YORK,2016,43,48,
NEW YORK,2016,44,77,1
NEW YORK,2016,45,35,1
NEW YORK,2016,46,0,2
NEW YORK,2016,47,33,1
NEW YORK,2016,48,62,
NEW YORK,2016,49,30,1
NEW YORK,2016,50,35,2
NEW YORK,2016,51,61,2
NEW YORK,2016,52,37,2
